kcp_id,kcp_name,feature_type,target_object_type,target_object_id,stage_id_optional,nominal_location,evaluation_direction,extraction_matrix_id,nominal_value,lower_tol,upper_tol,expected_unit,acceptance_rule,metadata
KCP_GAP_CENTER_RELEASE,KCP_GAP_CENTER_RELEASE,gap,Interface,G_RIB03_PANEL_L_MANUAL,S_RELEASE_04,"[200.0,0.0,0.0]","[0.0,0.0,1.0]",J_KCP_GAP_CENTER_RELEASE,0.0,0.0,0.08,mm,within_tolerance,"{""note"": ""释放阶段中心候选点平衡后间隙"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:39""}"
KCP_MAX_PRESSURE_JOIN,KCP_MAX_PRESSURE_JOIN,pressure,Interface,G_RIB03_PANEL_L_MANUAL,S_JOIN_03,"[200.0,0.0,0.0]","[0.0,0.0,1.0]",J_KCP_MAX_PRESSURE_JOIN,0.0,0.0,0.15,MPa,within_tolerance,"{""note"": ""连接阶段最大接触压力"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:39""}"
KCP_ACTIVE_RATIO_RELEASE,KCP_ACTIVE_RATIO_RELEASE,contact_ratio,Interface,G_RIB03_PANEL_L_MANUAL,S_RELEASE_04,"[200.0,0.0,0.0]","[0.0,0.0,1.0]",J_KCP_ACTIVE_RATIO_RELEASE,0.0,0.0,1.0,1,within_tolerance,"{""note"": ""释放阶段主动接触点比例"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:39""}"
KCP_SPRINGBACK_CENTER,KCP_SPRINGBACK_CENTER,springback,Interface,G_RIB03_PANEL_L_MANUAL,S_RELEASE_04,"[200.0,0.0,0.0]","[0.0,0.0,1.0]",J_KCP_SPRINGBACK_CENTER,0.0,-0.01,0.09,mm,within_tolerance,"{""note"": ""中心点 RELEASE 相对 JOIN 的间隙回弹增量"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:39""}"
KCP_EDGE_STEP_RELEASE,KCP_EDGE_STEP_RELEASE,step_proxy,Interface,G_RIB03_PANEL_L_MANUAL,S_RELEASE_04,"[200.0,0.0,0.0]","[0.0,0.0,1.0]",J_KCP_EDGE_STEP_RELEASE,0.0,-0.06,0.06,mm,within_tolerance,"{""note"": ""释放阶段上下边缘平均间隙差，作为阶差代理量"", ""source"": ""E1_TO_V25_CONVERTER"", ""schema_version"": ""V2.5"", ""generated_at"": ""2026-07-09T13:09:39""}"
